Player,Pos,3P%,2P%,FT%,TRB,AST,STL,BLK
Paul George,SF,0.371,0.447,0.86,7,4.1,1.9,0.4
Taj Gibson,PF,0,0.529,0.692,6.9,1.5,0.6,1.1
Manu Ginobili,SG,0.391,0.496,0.813,2.5,3.1,1.1,0.2
Rudy Gobert,C,0,0.559,0.569,11,1.5,0.7,2.2
Drew Gooden,PF,0.171,0.419,0.643,2.8,0.4,0.3,0.4
Archie Goodwin,PG,0.232,0.474,0.674,2.5,2.1,0.5,0.2
Aaron Gordon,PF,0.296,0.531,0.668,6.5,1.6,0.8,0.7
Eric Gordon,SG,0.384,0.457,0.888,2.2,2.7,1,0.3
Marcin Gortat,C,0,0.567,0.705,9.9,1.4,0.6,1.3
Andrew Goudelock,PG,0.111,0.727,0.75,0.3,0.5,0.8,0.3
Jerami Grant,SF,0.24,0.477,0.658,4.7,1.8,0.7,1.6
Jerian Grant,PG,0.22,0.454,0.78,1.9,2.3,0.7,0.1
Danny Green,SG,0.332,0.448,0.739,3.8,1.8,1,0.8
Draymond Green,PF,0.388,0.537,0.696,9.5,7.4,1.5,1.4
Erick Green,PG,0.2,0.5,1,0.7,0.3,0.1,0
Gerald Green,SG,0.323,0.446,0.783,2.4,0.8,0.6,0.3
JaMychal Green,PF,0.333,0.478,0.752,4.8,0.9,0.6,0.4
Jeff Green,SF,0.315,0.47,0.745,4.2,1.7,0.7,0.5
Blake Griffin,PF,0.333,0.504,0.727,8.4,4.9,0.8,0.5
Jorge Gutierrez,PG,0,0.667,0.909,0.6,1.4,0.3,0
P.J. Hairston,SF,0.29,0.449,0.781,2.6,0.6,0.5,0.2
Jordan Hamilton,SF,0.289,0.507,0.667,5.6,2.3,0.7,0.3
Tyler Hansbrough,PF,0.667,0.441,0.585,2,0.2,0.3,0.2
Tim Hardaway,SG,0.338,0.537,0.893,1.7,1,0.4,0.1
James Harden,SG,0.359,0.494,0.86,6.1,7.5,1.7,0.6
Maurice Harkless,SF,0.279,0.576,0.622,3.6,0.9,0.6,0.4
Justin Harper,PF,0.444,0,0.5,0.2,0,0.2,0
Montrezl Harrell,PF,0,0.652,0.522,1.7,0.4,0.3,0.3
Devin Harris,PG,0.329,0.532,0.721,2.2,1.8,0.9,0.2
Gary Harris,SG,0.354,0.543,0.82,2.9,1.9,1.3,0.2
Joe Harris,SG,0.25,0,0,0.6,0.4,0,0
Tobias Harris,PF,0.335,0.518,0.831,6.7,2.2,0.9,0.5
Aaron Harrison,SG,0.3,0.222,0.417,0.7,0.1,0.3,0
Udonis Haslem,PF,0.111,0.423,0.75,2,0.4,0.1,0.1
